k,mag,ang,re,im
1.000000e+00,9.933207e+01,1.764841e+02,-9.914511e+01,6.091568e+00
2.000000e+00,9.933207e+01,-1.764841e+02,-9.914511e+01,-6.091568e+00
3.000000e+00,9.999419e+01,1.800000e+02,-9.999419e+01,0.000000e+00
4.000000e+00,9.999826e+01,1.800000e+02,-9.999826e+01,0.000000e+00
5.000000e+00,9.999895e+01,1.800000e+02,-9.999895e+01,0.000000e+00
6.000000e+00,3.713998e+01,1.800000e+02,-3.713998e+01,0.000000e+00
7.000000e+00,3.668929e+01,1.800000e+02,-3.668929e+01,0.000000e+00
8.000000e+00,3.563869e+01,1.800000e+02,-3.563869e+01,0.000000e+00
9.000000e+00,3.605242e+01,1.800000e+02,-3.605242e+01,0.000000e+00
1.000000e+01,3.417445e+01,1.800000e+02,-3.417445e+01,0.000000e+00
1.100000e+01,3.156218e+01,1.800000e+02,-3.156218e+01,0.000000e+00
1.200000e+01,2.951350e+01,1.800000e+02,-2.951350e+01,0.000000e+00
1.300000e+01,2.001781e+01,1.616402e+02,-1.899885e+01,6.305285e+00
1.400000e+01,2.001781e+01,-1.616402e+02,-1.899885e+01,-6.305285e+00
1.500000e+01,1.457857e+01,1.800000e+02,-1.457857e+01,0.000000e+00
1.600000e+01,1.413244e+01,1.800000e+02,-1.413244e+01,0.000000e+00
1.700000e+01,1.425131e+01,1.800000e+02,-1.425131e+01,0.000000e+00
1.800000e+01,6.908928e+00,9.575816e+01,-6.931706e-01,6.874067e+00
1.900000e+01,6.908928e+00,-9.575816e+01,-6.931706e-01,-6.874067e+00
2.000000e+01,6.938746e+00,9.433470e+01,-5.244491e-01,6.918898e+00
2.100000e+01,6.938746e+00,-9.433470e+01,-5.244491e-01,-6.918898e+00
2.200000e+01,1.006151e+01,1.800000e+02,-1.006151e+01,0.000000e+00
2.300000e+01,1.007027e+01,1.800000e+02,-1.007027e+01,0.000000e+00
2.400000e+01,1.009779e+01,1.800000e+02,-1.009779e+01,0.000000e+00
