k1,mag1,ang1,re1,im1,k2,mag2,ang2,re2,im2
1.000000e+00,7.723280e+00,8.647933e+01,4.742758e-01,7.708704e+00,1.000000e+00,2.000000e-01,1.800000e+02,-2.000000e-01,0.000000e+00
2.000000e+00,7.723280e+00,-8.647933e+01,4.742758e-01,-7.708704e+00,2.000000e+00,1.132536e+01,9.298473e+01,-5.897095e-01,1.131000e+01
3.000000e+00,2.000000e-01,1.800000e+02,-2.000000e-01,0.000000e+00,3.000000e+00,1.132536e+01,-9.298473e+01,-5.897095e-01,-1.131000e+01
4.000000e+00,1.850502e+00,1.800000e+02,-1.850502e+00,0.000000e+00,4.000000e+00,1.606148e+00,1.800000e+02,-1.606148e+00,0.000000e+00
5.000000e+00,1.438272e+01,1.142182e+02,-5.899980e+00,1.311689e+01,5.000000e+00,1.010130e+01,1.600230e+02,-9.493500e+00,3.451035e+00
6.000000e+00,1.438272e+01,-1.142182e+02,-5.899980e+00,-1.311689e+01,6.000000e+00,1.010130e+01,-1.600230e+02,-9.493500e+00,-3.451035e+00
7.000000e+00,2.225330e+01,1.800000e+02,-2.225330e+01,0.000000e+00,7.000000e+00,3.024823e+01,1.800000e+02,-3.024823e+01,0.000000e+00
8.000000e+00,5.594657e+01,1.679370e+02,-5.471118e+01,1.169210e+01,8.000000e+00,5.615999e+01,1.734952e+02,-5.579845e+01,6.362119e+00
9.000000e+00,5.594657e+01,-1.679370e+02,-5.471118e+01,-1.169210e+01,9.000000e+00,5.615999e+01,-1.734952e+02,-5.579845e+01,-6.362119e+00
1.000000e+01,1.000000e+02,1.800000e+02,-1.000000e+02,0.000000e+00,1.000000e+01,1.000000e+02,1.800000e+02,-1.000000e+02,0.000000e+00
1.100000e+01,1.000000e+02,1.800000e+02,-1.000000e+02,0.000000e+00,1.100000e+01,1.000000e+02,1.800000e+02,-1.000000e+02,0.000000e+00
1.200000e+01,7.705747e+00,8.670416e+01,4.430160e-01,7.693002e+00,1.200000e+01,2.000910e-01,1.800000e+02,-2.000910e-01,0.000000e+00
1.300000e+01,7.705747e+00,-8.670416e+01,4.430160e-01,-7.693002e+00,1.300000e+01,1.135827e+01,9.337199e+01,-6.680749e-01,1.133861e+01
1.400000e+01,2.000260e-01,1.800000e+02,-2.000260e-01,0.000000e+00,1.400000e+01,1.135827e+01,-9.337199e+01,-6.680749e-01,-1.133861e+01
1.500000e+01,1.850383e+00,1.800000e+02,-1.850383e+00,0.000000e+00,1.500000e+01,1.603356e+00,1.800000e+02,-1.603356e+00,0.000000e+00
1.600000e+01,1.442596e+01,1.141175e+02,-5.894581e+00,1.316671e+01,1.600000e+01,1.009867e+01,1.599331e+02,-9.485610e+00,3.465027e+00
1.700000e+01,1.442596e+01,-1.141175e+02,-5.894581e+00,-1.316671e+01,1.700000e+01,1.009867e+01,-1.599331e+02,-9.485610e+00,-3.465027e+00
1.800000e+01,2.225493e+01,1.800000e+02,-2.225493e+01,0.000000e+00,1.800000e+01,3.023234e+01,1.800000e+02,-3.023234e+01,0.000000e+00
1.900000e+01,5.586490e+01,1.678991e+02,-5.462358e+01,1.171118e+01,1.900000e+01,5.597841e+01,1.733213e+02,-5.559853e+01,6.510409e+00
2.000000e+01,5.586490e+01,-1.678991e+02,-5.462358e+01,-1.171118e+01,2.000000e+01,5.597841e+01,-1.733213e+02,-5.559853e+01,-6.510409e+00
2.100000e+01,1.000662e+02,1.794134e+02,-1.000610e+02,1.024479e+00,2.100000e+01,1.001503e+02,1.791310e+02,-1.001387e+02,1.518904e+00
2.200000e+01,1.000662e+02,-1.794134e+02,-1.000610e+02,-1.024479e+00,2.200000e+01,1.001503e+02,-1.791310e+02,-1.001387e+02,-1.518904e+00
2.300000e+01,7.688089e+00,8.692712e+01,4.121287e-01,7.677034e+00,2.300000e+01,2.001823e-01,1.800000e+02,-2.001823e-01,0.000000e+00
2.400000e+01,7.688089e+00,-8.692712e+01,4.121287e-01,-7.677034e+00,2.400000e+01,1.139164e+01,9.376029e+01,-7.470897e-01,1.136712e+01
2.500000e+01,2.000521e-01,1.800000e+02,-2.000521e-01,0.000000e+00,2.500000e+01,1.139164e+01,-9.376029e+01,-7.470897e-01,-1.136712e+01
2.600000e+01,1.850264e+00,1.800000e+02,-1.850264e+00,0.000000e+00,2.600000e+01,1.600560e+00,1.800000e+02,-1.600560e+00,0.000000e+00
2.700000e+01,1.446967e+01,1.140184e+02,-5.889592e+00,1.321681e+01,2.700000e+01,1.009594e+01,1.598420e+02,-9.477518e+00,3.479163e+00
2.800000e+01,1.446967e+01,-1.140184e+02,-5.889592e+00,-1.321681e+01,2.800000e+01,1.009594e+01,-1.598420e+02,-9.477518e+00,-3.479163e+00
2.900000e+01,2.225657e+01,1.800000e+02,-2.225657e+01,0.000000e+00,2.900000e+01,3.021612e+01,1.800000e+02,-3.021612e+01,0.000000e+00
3.000000e+01,5.578357e+01,1.678618e+02,-5.453643e+01,1.172964e+01,3.000000e+01,5.579868e+01,1.731570e+02,-5.540119e+01,6.648374e+00
3.100000e+01,5.578357e+01,-1.678618e+02,-5.453643e+01,-1.172964e+01,3.100000e+01,5.579868e+01,-1.731570e+02,-5.540119e+01,-6.648374e+00
3.200000e+01,1.001319e+02,1.791738e+02,-1.001214e+02,1.443839e+00,3.200000e+01,1.002972e+02,1.787830e+02,-1.002746e+02,2.130198e+00
3.300000e+01,1.001319e+02,-1.791738e+02,-1.001214e+02,-1.443839e+00,3.300000e+01,1.002972e+02,-1.787830e+02,-1.002746e+02,-2.130198e+00
3.400000e+01,7.670312e+00,8.714820e+01,3.816186e-01,7.660813e+00,3.400000e+01,2.002737e-01,1.800000e+02,-2.002737e-01,0.000000e+00
3.500000e+01,7.670312e+00,-8.714820e+01,3.816186e-01,-7.660813e+00,3.500000e+01,1.142548e+01,9.414965e+01,-8.267680e-01,1.139553e+01
3.600000e+01,2.000781e-01,1.800000e+02,-2.000781e-01,0.000000e+00,3.600000e+01,1.142548e+01,-9.414965e+01,-8.267680e-01,-1.139553e+01
3.700000e+01,1.850145e+00,1.800000e+02,-1.850145e+00,0.000000e+00,3.700000e+01,1.597760e+00,1.800000e+02,-1.597760e+00,0.000000e+00
3.800000e+01,1.451385e+01,1.139210e+02,-5.885020e+00,1.326719e+01,3.800000e+01,1.009308e+01,1.597496e+02,-9.469217e+00,3.493444e+00
3.900000e+01,1.451385e+01,-1.139210e+02,-5.885020e+00,-1.326719e+01,3.900000e+01,1.009308e+01,-1.597496e+02,-9.469217e+00,-3.493444e+00
4.000000e+01,2.225822e+01,1.800000e+02,-2.225822e+01,0.000000e+00,4.000000e+01,3.019955e+01,1.800000e+02,-3.019955e+01,0.000000e+00
4.100000e+01,5.570257e+01,1.678251e+02,-5.444972e+01,1.174750e+01,4.100000e+01,5.562067e+01,1.730016e+02,-5.520627e+01,6.776920e+00
4.200000e+01,5.570257e+01,-1.678251e+02,-5.444972e+01,-1.174750e+01,4.200000e+01,5.562067e+01,-1.730016e+02,-5.520627e+01,-6.776920e+00
4.300000e+01,1.001969e+02,1.789922e+02,-1.001814e+02,1.762287e+00,4.300000e+01,1.004411e+02,1.785237e+02,-1.004078e+02,2.587691e+00
4.400000e+01,1.001969e+02,-1.789922e+02,-1.001814e+02,-1.762287e+00,4.400000e+01,1.004411e+02,-1.785237e+02,-1.004078e+02,-2.587691e+00
4.500000e+01,7.652426e+00,8.736738e+01,3.514897e-01,7.644350e+00,4.500000e+01,2.003652e-01,1.800000e+02,-2.003652e-01,0.000000e+00
4.600000e+01,7.652426e+00,-8.736738e+01,3.514897e-01,-7.644350e+00,4.600000e+01,1.145981e+01,9.454011e+01,-9.071240e-01,1.142385e+01
4.700000e+01,2.001042e-01,1.800000e+02,-2.001042e-01,0.000000e+00,4.700000e+01,1.145981e+01,-9.454011e+01,-9.071240e-01,-1.142385e+01
4.800000e+01,1.850025e+00,1.800000e+02,-1.850025e+00,0.000000e+00,4.800000e+01,1.594955e+00,1.800000e+02,-1.594955e+00,0.000000e+00
4.900000e+01,1.455848e+01,1.138252e+02,-5.880866e+00,1.331784e+01,4.900000e+01,1.009009e+01,1.596560e+02,-9.460700e+00,3.507873e+00
5.000000e+01,1.455848e+01,-1.138252e+02,-5.880866e+00,-1.331784e+01,5.000000e+01,1.009009e+01,-1.596560e+02,-9.460700e+00,-3.507873e+00
5.100000e+01,2.225987e+01,1.800000e+02,-2.225987e+01,0.000000e+00,5.100000e+01,3.018262e+01,1.800000e+02,-3.018262e+01,0.000000e+00
5.200000e+01,5.562188e+01,1.677890e+02,-5.436344e+01,1.176476e+01,5.200000e+01,5.544427e+01,1.728544e+02,-5.501365e+01,6.896821e+00
5.300000e+01,5.562188e+01,-1.677890e+02,-5.436344e+01,-1.176476e+01,5.300000e+01,5.544427e+01,-1.728544e+02,-5.501365e+01,-6.896821e+00
